fromNode,fromNode_lat,fromNode_long,toNode,toNode_lat,toNode_long,weight,overhead
303B,1.4039404,103.9055183,293,1.4031741,103.9049597,105.0914304,
303B,1.4039404,103.9055183,299,1.4027949,103.905336,128.2780147,
303B,1.4039404,103.9055183,Blk 298 (65229),1.4032091,103.9055521,80.95089303,
303B,1.4039404,103.9055183,301A,1.404157,103.9062753,87.5821493,
303B,1.4039404,103.9055183,301B,1.4042851,103.9058892,56.18258012,
303B,1.4039404,103.9055183,301C,1.4044227,103.9056415,55.0644835,
303B,1.4039404,103.9055183,301D,1.4045565,103.9053593,70.38566541,
303B,1.4039404,103.9055183,303A,1.403809,103.9057605,30.62027383,
303B,1.4039404,103.9055183,303C,1.404078,103.9052954,29.10022555,
303C,1.404078,103.9052954,293,1.4031741,103.9049597,106.7024916,
303C,1.404078,103.9052954,Blk 298 (65229),1.4032091,103.9055521,100.2356013,
303C,1.404078,103.9052954,301B,1.4042851,103.9058892,69.93723654,
303C,1.404078,103.9052954,301C,1.4044227,103.9056415,54.18729978,
303C,1.404078,103.9052954,301D,1.4045565,103.9053593,53.38584849,
303C,1.404078,103.9052954,302D,1.4046918,103.90512,70.62205275,
303C,1.404078,103.9052954,303D,1.4042685,103.9050009,38.9594274,
303C,1.404078,103.9052954,Blk 303D (65221),1.4040774,103.9048174,53.19488827,
303D,1.4042685,103.9050009,301D,1.4045565,103.9053593,51.03875473,
303D,1.4042685,103.9050009,302B,1.404406,103.9047562,31.18864554,
303D,1.4042685,103.9050009,302C,1.4048249,103.9048829,62.90972654,
303D,1.4042685,103.9050009,302D,1.4046918,103.90512,48.64679092,
303D,1.4042685,103.9050009,Blk 303D (65221),1.4040774,103.9048174,29.38592079,
301,1.4037205,103.9061298,301A,1.404157,103.9062753,50.90961642,
301,1.4037205,103.9061298,Blk 301A (65091),1.40399,103.90659,59.25289954,
301,1.4037205,103.9061298,301B,1.4042851,103.9058892,67.93016879,
301,1.4037205,103.9061298,303A,1.403809,103.9057605,42.24703275,
301,1.4037205,103.9061298,602B,1.4030339,103.9068768,112.5819919,
602,1.4032471,103.9072887,601A,1.4024859,103.90759,90.60258697,
602,1.4032471,103.9072887,601D,1.4029774,103.907682,52.96294344,
602,1.4032471,103.9072887,602A,1.4034755,103.9070327,38.07192119,
602,1.4032471,103.9072887,602B,1.4030339,103.9068768,51.54570867,
602,1.4032471,103.9072887,602C,1.4028063,103.9071823,50.15908224,
602,1.4032471,103.9072887,603C,1.4034137,103.907916,72.19962619,
602,1.4032471,103.9072887,604B,1.4039018,103.9072235,72.75612747,
602,1.4032471,103.9072887,604C,1.4036773,103.9075724,57.09315899,
603,1.4039134,103.9079335,603A,1.4035487,103.9084722,72.25119908,
603,1.4039134,103.9079335,603B,1.4031873,103.9082131,86.10703563,
603,1.4039134,103.9079335,603C,1.4034137,103.907916,55.28860919,
603,1.4039134,103.9079335,604A,1.4042647,103.9074102,70.0026958,
603,1.4039134,103.9079335,604B,1.4039018,103.9072235,79.02368251,
603,1.4039134,103.9079335,604C,1.4036773,103.9075724,47.9211355,
603,1.4039134,103.9079335,612D,1.4047463,103.9076175,98.58345609,
603,1.4039134,103.9079335,613A,1.404527,103.9079211,67.86281647,
603,1.4039134,103.9079335,613B,1.4043172,103.9082461,56.60254786,
603,1.4039134,103.9079335,613C,1.404103,103.9085458,71.29286547,
614,1.4033493,103.9096363,614A,1.4036136,103.9092319,53.6607398,
614,1.4033493,103.9096363,614B,1.403051,103.9100811,59.48313599,
614,1.4033493,103.9096363,615A,1.4040051,103.9095691,72.89965097,
614,1.4033493,103.9096363,615B,1.4037658,103.9099181,55.71798207,
614,1.4033493,103.9096363,615C,1.4034879,103.9102826,73.53902887,
301A,1.404157,103.9062753,Blk 301A (65091),1.40399,103.90659,39.5919171,
301A,1.404157,103.9062753,301B,1.4042851,103.9058892,45.24218055,
301A,1.404157,103.9062753,303A,1.403809,103.9057605,69.01363501,
305A,1.4052051,103.9067226,Blk 301A (65091),1.40399,103.90659,135.1675319,
305A,1.4052051,103.9067226,305B,1.4053774,103.9063854,42.08515884,
305A,1.4052051,103.9067226,305D,1.4057889,103.9069365,68.80269104,
305B,1.4053774,103.9063854,301A,1.404157,103.9062753,135.5007673,
305B,1.4053774,103.9063854,305A,1.4052051,103.9067226,42.08515884,
305B,1.4053774,103.9063854,305D,1.4057889,103.9069365,76.36585206,
305B,1.4053774,103.9063854,306B,1.405853,103.9059333,72.78047208,
305B,1.4053774,103.9063854,306D,1.4061131,103.9064785,82.00710545,
305D,1.4057889,103.9069365,305A,1.4052051,103.9067226,68.80269104,
305D,1.4057889,103.9069365,305B,1.4053774,103.9063854,76.36585206,
305D,1.4057889,103.9069365,306B,1.405853,103.9059333,111.8670916,
305D,1.4057889,103.9069365,306D,1.4061131,103.9064785,62.31335915,
305D,1.4057889,103.9069365,612C,1.4051606,103.907831,121.391852,
306A,1.4061209,103.9054158,306B,1.405853,103.9059333,64.76265872,
306A,1.4061209,103.9054158,306C,1.406426,103.9060078,74.0169411,
306A,1.4061209,103.9054158,Punggol View Pr Sch (65351),1.40591,103.90488,64.0252356,
306B,1.405853,103.9059333,305B,1.4053774,103.9063854,72.78047208,
306B,1.405853,103.9059333,305D,1.4057889,103.9069365,111.8670916,
306B,1.405853,103.9059333,306A,1.4061209,103.9054158,64.76265872,
306B,1.405853,103.9059333,306C,1.406426,103.9060078,63.89958339,
