fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,overhead
302B,103.9047562,1.404406,84,103.9165819,1.4013841,1357.796869,
302B,103.9047562,1.404406,293,103.9049597,1.4031741,138.0870047,
302B,103.9047562,1.404406,301D,103.9053593,1.4045565,69.14910456,
302B,103.9047562,1.404406,302A,103.9044019,1.4045119,41.13083884,
302B,103.9047562,1.404406,302C,103.9048829,1.4048249,48.41835459,
302B,103.9047562,1.404406,302D,103.90512,1.4046918,51.35969472,
302B,103.9047562,1.404406,303D,103.9050009,1.4042685,31.18864554,
302C,103.9048829,1.4048249,302A,103.9044019,1.4045119,63.74299992,
302C,103.9048829,1.4048249,302B,103.9047562,1.404406,48.41835459,
302C,103.9048829,1.4048249,302D,103.90512,1.4046918,30.21299474,
302C,103.9048829,1.4048249,303D,103.9050009,1.4042685,62.90972654,
302D,103.90512,1.4046918,301D,103.9053593,1.4045565,30.54545642,
302D,103.90512,1.4046918,302B,103.9047562,1.404406,51.35969472,
302D,103.90512,1.4046918,302C,103.9048829,1.4048249,30.21299474,
302D,103.90512,1.4046918,303C,103.9052954,1.404078,70.62205275,
302D,103.90512,1.4046918,303D,103.9050009,1.4042685,48.64679092,
303A,103.9057605,1.403809,293,103.9049597,1.4031741,113.4488376,
303A,103.9057605,1.403809,298,103.9056626,1.4026126,132.7397296,
303A,103.9057605,1.403809,299,103.905336,1.4027949,121.6789268,
303A,103.9057605,1.403809,301A,103.9062753,1.404157,69.01363501,
303A,103.9057605,1.403809,301B,103.9058892,1.4042851,54.55825259,
303A,103.9057605,1.403809,301C,103.9056415,1.4044227,69.13998154,
303A,103.9057605,1.403809,303B,103.9055183,1.4039404,30.62027383,
303B,103.9055183,1.4039404,80,103.9159556,1.4017677,1186.114604,
303B,103.9055183,1.4039404,293,103.9049597,1.4031741,105.0914304,
303B,103.9055183,1.4039404,299,103.905336,1.4027949,128.2780147,
303B,103.9055183,1.4039404,301A,103.9062753,1.404157,87.5821493,
303B,103.9055183,1.4039404,301B,103.9058892,1.4042851,56.18258012,
303B,103.9055183,1.4039404,301C,103.9056415,1.4044227,55.0644835,
303B,103.9055183,1.4039404,301D,103.9053593,1.4045565,70.38566541,
303B,103.9055183,1.4039404,303A,103.9057605,1.403809,30.62027383,
303B,103.9055183,1.4039404,303C,103.9052954,1.404078,29.10022555,
303C,103.9052954,1.404078,293,103.9049597,1.4031741,106.7024916,
303C,103.9052954,1.404078,301B,103.9058892,1.4042851,69.93723654,
303C,103.9052954,1.404078,301C,103.9056415,1.4044227,54.18729978,
303C,103.9052954,1.404078,301D,103.9053593,1.4045565,53.38584849,
303C,103.9052954,1.404078,302D,103.90512,1.4046918,70.62205275,
303C,103.9052954,1.404078,303D,103.9050009,1.4042685,38.9594274,
303D,103.9050009,1.4042685,301D,103.9053593,1.4045565,51.03875473,
303D,103.9050009,1.4042685,302B,103.9047562,1.404406,31.18864554,
303D,103.9050009,1.4042685,302C,103.9048829,1.4048249,62.90972654,
303D,103.9050009,1.4042685,302D,103.90512,1.4046918,48.64679092,
301,103.9061298,1.4037205,301A,103.9062753,1.404157,50.90961642,
301,103.9061298,1.4037205,301B,103.9058892,1.4042851,67.93016879,
301,103.9061298,1.4037205,303A,103.9057605,1.403809,42.24703275,
301,103.9061298,1.4037205,602B,103.9068768,1.4030339,112.5819919,
602,103.9072887,1.4032471,601A,103.90759,1.4024859,90.60258697,
602,103.9072887,1.4032471,601D,103.907682,1.4029774,52.96294344,
602,103.9072887,1.4032471,602A,103.9070327,1.4034755,38.07192119,
602,103.9072887,1.4032471,602B,103.9068768,1.4030339,51.54570867,
602,103.9072887,1.4032471,602C,103.9071823,1.4028063,50.15908224,
602,103.9072887,1.4032471,603C,103.907916,1.4034137,72.19962619,
602,103.9072887,1.4032471,604B,103.9072235,1.4039018,72.75612747,
602,103.9072887,1.4032471,604C,103.9075724,1.4036773,57.09315899,
603,103.9079335,1.4039134,603A,103.9084722,1.4035487,72.25119908,
603,103.9079335,1.4039134,603B,103.9082131,1.4031873,86.10703563,
603,103.9079335,1.4039134,603C,103.907916,1.4034137,55.28860919,
603,103.9079335,1.4039134,604A,103.9074102,1.4042647,70.0026958,
603,103.9079335,1.4039134,604B,103.9072235,1.4039018,79.02368251,
603,103.9079335,1.4039134,604C,103.9075724,1.4036773,47.9211355,
603,103.9079335,1.4039134,612D,103.9076175,1.4047463,98.58345609,
603,103.9079335,1.4039134,613A,103.9079211,1.404527,67.86281647,
603,103.9079335,1.4039134,613B,103.9082461,1.4043172,56.60254786,
603,103.9079335,1.4039134,613C,103.9085458,1.404103,71.29286547,
614,103.9096363,1.4033493,614A,103.9092319,1.4036136,53.6607398,
614,103.9096363,1.4033493,614B,103.9100811,1.403051,59.48313599,
