id,name,long,lat
way/476149338,Punggol Field,103.9133427,1.3934032
way/476149339,Punggol Field,103.9128216,1.3938293
way/476149340,Punggol Field,103.91365,1.3931405
way/476158178,Punggol Road,103.9075551,1.4057141
way/476158179,Punggol Road,103.9074024,1.4054328
way/476158180,Edgefield Plains,103.910692,1.4033088
way/476158181,Edgedale Plains,103.9163213,1.4029338
way/476161037,Edgedale Plains,103.9134285,1.3987144
way/476161038,Edgedale Plains,103.913271,1.3984858
way/476161039,Edgedale Plains,103.912007,1.3966913
way/476161041,Edgedale Plains,103.9131183,1.3982756
way/476162264,Edgefield Plains,103.9095032,1.4014729
way/476162265,Edgefield Plains,103.9093835,1.4013036
way/476162266,Edgefield Plains,103.9092253,1.4010777
way/476162268,Punggol Field,103.9069597,1.3982701
way/476162270,Edgefield Plains,103.907224,1.3980013
way/476162273,Edgefield Plains,103.9074763,1.3983737
way/476162277,Edgedale Plains,103.9123579,1.3973852
way/476162283,Edgedale Plains,103.9105835,1.3948509
way/476162285,Edgedale Plains,103.9107704,1.3951348
way/476162287,Punggol Field Walk,103.9135078,1.3931615
way/476165171,Punggol Road,103.9080402,1.4063231
way/476165172,Punggol Road,103.9078788,1.4060297
way/476165173,Punggol Road,103.9072599,1.4048565
way/476165174,Edgefield Plains,103.9113674,1.4040839
way/476165175,Edgedale Plains,103.9152141,1.4012288
way/476165176,Edgedale Plains,103.9150059,1.4009211
way/476165177,Edgedale Plains,103.9143481,1.3999932
way/476165178,Punggol East,103.9163595,1.3950202
way/476166950,Edgefield Plains,103.9088911,1.4008092
way/476166951,Edgefield Plains,103.9085239,1.4002569
way/476166952,Edgefield Plains,103.9091305,1.4011361
way/476166954,Edgefield Plains,103.907606,1.3987697
way/476166955,Edgefield Plains,103.9073767,1.3984511
way/476166956,Edgedale Plains,103.9114859,1.3959407
way/476166957,Edgedale Plains,103.9096727,1.3934375
way/476389380,Punggol Central,103.9001288,1.4063874
way/476389381,Punggol Central,103.9004595,1.4062974
way/476389382,Punggol Central,103.9007177,1.4061987
way/476389383,Punggol Central,103.9020661,1.4054726
way/476389384,Punggol Central,103.9023941,1.4052871
way/476389385,Punggol Central,103.9028167,1.40505
way/476389386,Punggol Central,103.9021794,1.4052508
way/476389387,Punggol Central,103.9023343,1.4051681
way/476389388,Punggol Central,103.9033291,1.4047617
way/476389390,Punggol Central,103.9053743,1.4035741
way/476389391,Punggol Central,103.9050768,1.4037792
way/476389392,Punggol Central,103.9046897,1.4038113
way/476389393,Punggol Central,103.9049679,1.4036357
way/476389868,Punggol Central,103.9057294,1.4033408
way/476389869,Punggol Central,103.9060854,1.4030945
way/476393001,Punggol Road,103.9067656,1.4041376
way/476393002,Punggol Road,103.9069684,1.4045755
way/476393003,Punggol Road,103.9067239,1.4037235
way/476393004,Punggol Road,103.9068709,1.4040526
way/476393006,Punggol Road,103.9071328,1.404913
way/476393007,Punggol Road,103.9090504,1.4083882
way/476395121,Punggol Walk,103.9010412,1.4066723
way/476395123,Punggol Walk,103.9007377,1.4058644
way/476395125,Punggol Central,103.9010459,1.4058786
way/476395128,Punggol Central,103.8995241,1.4062366
way/476395130,Punggol Central,103.9013289,1.4057177
way/476395132,Punggol Central,103.9019016,1.405411
way/476395133,Punggol Place,103.9034199,1.4038215
way/476396159,Punggol Drive,103.9078524,1.4056713
way/476396168,Punggol Drive,103.906692,1.4064645
way/476396181,Punggol Drive,103.9081272,1.4054507
way/476400642,Punggol Walk,103.9012012,1.4067878
way/476400643,Punggol Walk,103.9003484,1.4045701
way/476400644,Punggol Walk,103.9011354,1.4066271
way/476400645,Punggol Walk,103.9010195,1.4062949
way/476400646,Punggol Place,103.904116,1.4048165
way/479326882,Compassvale Street,103.9009705,1.3943848
way/479744509,Tampines Expressway,103.9081385,1.3928536
way/479744510,Tampines Expressway,103.9064117,1.3946396
way/479744511,Tampines Expressway,103.9041934,1.3960503
way/479744680,Punggol Road,103.9019078,1.3946926
way/500371481,Tampines Expressway,103.9033917,1.396509
way/500372302,Punggol Road,103.9076725,1.4059151
way/500372303,Punggol Drive,103.907765,1.4059554
way/500372306,Punggol Drive,103.9076799,1.4058058
way/500372422,Punggol Drive,103.905657,1.4072367
way/500372423,Punggol Place,103.905355,1.4072998
way/500372424,Punggol Drive,103.9052129,1.4072942
way/500373595,Punggol Central,103.9008446,1.4059927
way/500373596,Punggol Walk,103.9008062,1.4060805
way/500373597,Punggol Central,103.9008932,1.4061163
way/500373598,Punggol Walk,103.9009316,1.4060285
way/512918167,Punggol Central,103.9084788,1.4012476
way/512918168,Edgefield Plains,103.9071939,1.3983127
way/512918169,Punggol Field,103.9071746,1.3982113
way/512918170,Punggol Field,103.9081948,1.3976368
way/533694393,203B,103.9037798,1.3980245
way/533694394,205A,103.9020683,1.3987114
way/533694395,202A,103.9044502,1.3999613
way/534632376,Punggol Walk,103.9000376,1.4040774
way/534634678,Edgefield Plains,103.9099231,1.402058
way/534634680,Punggol Drive,103.9108882,1.403484
way/534634682,Punggol Drive,103.911006,1.4036399
way/534635081,Punggol Drive,103.9148911,1.4008384
way/534635084,Edgedale Plains,103.9148831,1.40074
way/534635085,Punggol Drive,103.914792,1.4007019
way/534635088,Punggol Drive,103.9146657,1.4007959
way/534635090,Edgedale Plains,103.9148,1.4008003
way/534636066,Punggol Central,103.9167929,1.3954485
way/534637112,Edgedale Plains,103.9109879,1.3952474
way/534637114,Punggol Field,103.9109988,1.3953432
way/534637117,Edgedale Plains,103.9109036,1.3953156
way/534637120,Punggol Field,103.9108927,1.3952198
way/534637123,Punggol Field,103.90954,1.396298
way/534638193,Punggol Central,103.9090843,1.4009831
way/534638684,Punggol Central,103.9129837,1.398185
way/534638685,Punggol Central,103.9145844,1.3970355
way/534638686,Edgedale Plains,103.9129815,1.3980919
way/534638687,Punggol Central,103.9128912,1.3980616
way/534638688,Edgedale Plains,103.913436,1.3989088
way/534642694,Punggol Road,103.9014652,1.394134
way/534660615,Edgefield Plains,103.9117283,1.4046126
way/534660616,Edgefield Plains,103.9120314,1.4050182
way/534660617,Edgefield Plains,103.911955,1.4050836
way/534660618,Edgefield Plains,103.9110951,1.4038479
way/534666319,Edgedale Plains,103.9156397,1.401806
way/534666320,Edgedale Plains,103.9159455,1.4022205
way/534666321,Edgedale Plains,103.9158544,1.4022788
way/534666322,Edgedale Plains,103.9150092,1.4010902
way/534993644,Edgefield Plains,103.90725,1.3982632
way/535773836,Punggol Field,103.9113722,1.3948128
way/535779870,Punggol East,103.9183167,1.3976777
way/535779871,Punggol East,103.9174466,1.3961885
way/535780407,Compassvale Street,103.9004438,1.3945687
way/536981002,Edgefield Plains,103.9078723,1.3991588
way/536981004,Edgefield Plains,103.9084294,1.4001093
way/536982024,Punggol Central,103.9102055,1.4001758
way/539261591,Punggol Field Walk,103.9133764,1.3929854
way/539265948,Edgefield Plains,103.9104025,1.3947422
way/539267636,Tebing Lane,103.9152059,1.3928577
way/539267637,Tebing Lane,103.9153106,1.3929805
way/539277002,Punggol Drive,103.9170571,1.3990028
way/543517661,104B,103.9055271,1.3962667
way/545321526,Rivervale Crescent,103.9062243,1.3925785
way/545321527,Rivervale Crescent,103.9062071,1.3925413
way/580386891,Punggol Road,103.9090769,1.4081624
way/582412248,Punggol Drive,103.9052551,1.4074256
way/582412249,Punggol Drive,103.9075181,1.4059199
way/582412250,Punggol Road,103.9076448,1.4056145
way/582412251,Punggol Drive,103.907939,1.40583
way/582412252,Punggol Road,103.9077921,1.406123
way/582412253,Punggol Central,103.9060832,1.4029351
way/582412254,Punggol Road,103.9061524,1.4027208
way/582412255,Punggol Road,103.906247,1.4025992
way/582412256,Punggol Central,103.9064782,1.4028262
way/582412257,Punggol Road,103.9064348,1.4030605
way/582412258,Punggol Road,103.9063295,1.4031766
way/582412259,Punggol Walk,103.9008466,1.4058037
way/582412260,Punggol Central,103.9010449,1.406043
way/582412261,Punggol Walk,103.900885,1.4062834
way/582412262,Punggol Central,103.9006425,1.4060716
way/582412264,Punggol Road,103.9038953,1.3976101
way/582412265,Punggol Place,103.9019823,1.4012689
way/582412266,Punggol Place,103.9018851,1.4013
way/582412267,Punggol Field,103.9018479,1.4014703
way/582412268,Punggol Field,103.9021709,1.401325
way/582412269,Punggol Field,103.9022328,1.4014473
way/582412270,Punggol Place,103.9021917,1.4016477
way/582412271,Punggol Place,103.9021137,1.4016896
way/582412272,Punggol Field,103.9019172,1.4016192
way/582412281,Punggol Road,103.9048816,1.399756
way/582412282,Punggol Field,103.9052805,1.3999071
way/582412283,Punggol Road,103.9051045,1.4002534
way/582412284,Punggol Field,103.9048535,1.4001667
way/582412285,Punggol Field,103.9047973,1.3999896
way/589572295,North East Line (NE),103.9024911,1.4054813
way/599247618,Punggol Waterway,103.9183309,1.4005265
way/599247631,Punggol Waterway,103.919999,1.3992489
way/617971371,Edgefield Plains,103.9076798,1.3989672
way/617971429,Tampines Expressway,103.9062452,1.3950103
way/620204248,Punggol East,103.9184763,1.3979128
way/620204251,Punggol East,103.9178042,1.3969778
way/620211407,Edgedale Plains,103.9142635,1.4000628
way/620211408,Punggol Drive,103.9157063,1.4000363
way/620211409,Punggol Drive,103.9150902,1.4004829
way/620213240,Edgefield Plains,103.9104418,1.402957
way/620213241,Punggol Drive,103.9111521,1.4032867
way/620213242,Punggol Drive,103.9116029,1.4029619
way/620219321,Punggol Drive,103.9059022,1.4069423
way/620219322,Punggol Drive,103.9049663,1.4075508
way/620219323,Punggol Place,103.9052018,1.4069438
way/620220490,Punggol Walk,103.9019858,1.408808
way/620263125,Punggol Central,103.9166003,1.3955908
way/620263126,Punggol Central,103.9160256,1.395998
way/620264526,Edgedale Plains,103.9127627,1.3979755
way/620264527,Edgedale Plains,103.9125757,1.397707
way/620264528,Punggol Central,103.9126742,1.3984024
way/620264529,Punggol Central,103.9122546,1.3986909
way/620267262,Edgefield Plains,103.9085943,1.4003658
way/620272655,Punggol Road,103.9060147,1.4024111
way/620272657,Punggol Road,103.9058539,1.4020048
way/620275278,Punggol Central,103.9043156,1.4040446
way/620278849,Punggol Walk,103.9006357,1.4055437
way/620278850,Punggol Walk,103.9005482,1.4052895
way/620514212,Punggol Field,103.9138191,1.3929834
way/620514213,Punggol Field,103.9140314,1.3927975
way/620514216,Punggol East,103.9147466,1.3924406
way/620514217,Punggol East,103.9149772,1.3927764
way/620514218,Punggol East,103.9151316,1.3929868
way/620514219,Punggol East,103.9148852,1.3926442
way/620514573,Punggol Field Walk,103.9131149,1.3926265
way/620514574,Punggol Field Walk,103.9132812,1.3930408
way/620514575,Punggol Field,103.9134004,1.393147
way/620514576,Punggol Field,103.9140113,1.392657
way/620514577,Punggol Field,103.914284,1.3924337
way/620514876,Edgedale Plains,103.9101049,1.3942166
way/620514877,Punggol Field,103.9110801,1.3950557
way/620514878,Punggol Field,103.9124308,1.3939458
way/620519864,Edgefield Plains,103.9070819,1.398151
way/620519865,Edgefield Plains,103.9069193,1.3979132
way/620519866,Punggol Field,103.9073006,1.3981067
way/620519867,Punggol Field,103.9081877,1.3973968
way/620519868,Punggol Field,103.9075658,1.3979008
way/620522271,Punggol Road,103.9048002,1.3995832
way/620522272,Punggol Road,103.904659,1.3992284
way/620522273,Punggol Road,103.9045689,1.3990071
way/620522274,Punggol Field,103.9042503,1.4004709
way/620522275,Punggol Field,103.9055425,1.3995032
way/620522276,Punggol Field,103.905969,1.3991975
way/620522277,Punggol Field,103.9057933,1.3993302
way/620524552,Punggol Place,103.9025689,1.4022679
way/620524553,Punggol Place,103.9023885,1.4019699
way/620524554,Punggol Field,103.9016473,1.4017463
way/620524555,Punggol Field,103.9024615,1.4011846
way/620524556,Punggol Field,103.9027959,1.4010222
way/620526163,Punggol Field,103.8999688,1.4022718
way/620557603,Punggol Field Walk,103.9130424,1.392659
way/620576650,Punggol Road,103.9028139,1.3956985
way/620576652,Punggol Road,103.9043657,1.3982583
way/620576654,Tampines Expressway,103.9079054,1.3933585
way/620749719,Tampines Expressway,103.9024764,1.3974295
way/620749724,Tampines Expressway,103.902873,1.3972055
way/620749727,Tampines Expressway,103.8997942,1.398438
way/626575145,Tampines Expressway,103.9044675,1.3959093
way/626575146,Punggol Road,103.9029819,1.3959267
way/627311781,Rivervale Crescent,103.9055523,1.3922878
way/627316123,Rivervale Crescent,103.9069912,1.3926474
way/627662656,Rivervale Drive,103.9029648,1.3929551
way/627664874,Rivervale Drive,103.9037593,1.3931179
way/627682773,Rivervale Drive,103.9047986,1.3942807
way/627682774,Rivervale Drive,103.9053314,1.3939703
way/627682775,Rivervale Drive,103.9049294,1.3925231
way/627682776,Rivervale Drive,103.9044569,1.3928582
way/627682777,Rivervale Drive,103.9021123,1.3939236
way/627688025,Rivervale Drive,103.904814,1.3927243
way/627700950,Rivervale Drive,103.903107,1.3926742
way/627702905,Rivervale Drive,103.9050054,1.3922915
way/627717892,Rivervale Drive,103.9031081,1.3932102
way/627717896,186C,103.9050092,1.3930576
way/627723425,Compassvale Street,103.9011952,1.3941751
way/627723428,Punggol Road,103.9014008,1.393965
way/627731399,Rivervale Drive,103.9019663,1.393885
way/627736307,Saint Anne's Wood,103.903207,1.3922908
way/627923177,Jalan Merdu,103.900296,1.3921997
way/627943554,297,103.9002732,1.3948562
way/627943555,297A,103.9003106,1.3948426
way/627943556,297,103.9003061,1.3949273
way/627943587,Compassvale Street,103.9002765,1.3947148
way/627943590,Compassvale Street,103.9002306,1.3947303
way/627943592,297A,103.9003223,1.3949206
way/627985409,Rivervale Drive,103.9026114,1.3937518
way/627985762,Punggol Road,103.9011613,1.3935449
way/627988652,Compassvale Street,103.90005,1.3945856
way/628022049,Punggol Road,103.9013042,1.3924133
way/628022051,Punggol Road,103.9012633,1.3930537
way/628022054,Punggol Road,103.9013126,1.3935978
way/628022055,Punggol Road,103.9016924,1.3946297
way/628026867,Compassvale Street,103.9004101,1.3944602
way/630420271,Punggol Drive,103.9076238,1.406054
way/630420275,Punggol Drive,103.907371,1.4060246
way/630420434,Punggol East,103.9167293,1.395188
way/630420435,Punggol East,103.9165789,1.3953181
way/630421303,Punggol Field,103.9001186,1.4023884
way/632388863,Punggol Place,103.9052107,1.4067831
way/633589043,Punggol East,103.9182937,1.3973955
way/635641069,Punggol Central,103.9131517,1.398063
way/635650898,Punggol Central,103.9118284,1.3988199
way/635679257,Punggol Drive,103.9150492,1.4007172
way/635679590,Punggol Field,103.9107346,1.3953428
way/635681114,Edgedale Plains,103.9128496,1.3979043
way/635681690,Edgedale Plains,103.9147591,1.4005574
way/635682236,Punggol Field,103.9066751,1.3986471
way/635691794,Punggol Drive,103.9107576,1.4035789
way/635693449,Edgedale Plains,103.9130409,1.3983553
way/635693968,Punggol East,103.9170186,1.3959184
way/635714418,Punggol Central,103.9096081,1.4006113
way/636849864,Punggol Place,103.9013899,1.4003273
way/636849865,Punggol Place,103.9017218,1.399606
way/636849866,Punggol Place,103.9015186,1.4006341
way/640010710,Edgefield Plains,103.9082039,1.3996357
way/640264293,Punggol Field Walk,103.9128084,1.3924806
way/640785432,Punggol Drive,103.9130356,1.4022559
way/641080747,Edgedale Plains,103.909957,1.3940142
way/641080748,Edgedale Plains,103.9107392,1.3949133
way/641081343,Edgedale Plains,103.9097843,1.3937662
