,bus number,fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,opp
77,3,way/620576652,103.9043657,1.3982583,way/717057840,103.9041902,1.3978999,,0
78,3,way/717057840,103.9041902,1.3978999,way/166722003,103.90415,1.3973321,,0
79,3,way/166722003,103.90415,1.3973321,way/661322721,103.9043975,1.3968151,,0
80,3,way/661322721,103.9043975,1.3968151,way/668176473,103.9047152,1.3965349,,0
81,3,way/668176473,103.9047152,1.3965349,Aft Punggol Rd(65199),103.9055001,1.3959978,,0
82,3,Bef Punggol Rd(65191),103.9051626,1.3952405,way/626575145,103.9044675,1.3959093,,1
83,3,way/626575145,103.9044675,1.3959093,way/479744511,103.9041934,1.3960503,,1
84,3,way/479744511,103.9041934,1.3960503,way/74584466,103.9037406,1.3963029,,1
85,3,way/74584466,103.9037406,1.3963029,way/500371481,103.9033917,1.396509,,1
86,3,way/500371481,103.9033917,1.396509,way/32776686,103.9033771,1.3965863,,1
87,3,way/32776686,103.9033771,1.3965863,way/166721998,103.9035279,1.3968741,,1
88,3,way/166721998,103.9035279,1.3968741,way/166722000,103.9036962,1.3972119,,1
89,3,way/166722000,103.9036962,1.3972119,way/582412264,103.9038953,1.3976101,,1
90,3,way/582412264,103.9038953,1.3976101,Opp Blk 103A(65071),103.9041539,1.3984929,,1
91,3,Opp Blk 103A(65071),103.9041539,1.3984929,way/620522273,103.9045689,1.3990071,,1
92,3,way/620522273,103.9045689,1.3990071,way/620522272,103.904659,1.3992284,,1
93,3,way/620522272,103.904659,1.3992284,way/717055145,103.9047441,1.3994461,,1
94,3,way/717055145,103.9047441,1.3994461,way/620522271,103.9048002,1.3995832,,1
95,3,way/620522271,103.9048002,1.3995832,way/582412281,103.9048816,1.399756,,1
96,3,way/582412281,103.9048816,1.399756,way/174886184,103.9049897,1.3999899,,1
97,3,way/174886184,103.9049897,1.3999899,way/74477400,103.905091,1.4000273,,1
98,3,way/74477400,103.905091,1.4000273,way/582412282,103.9052805,1.3999071,,1
99,3,way/582412282,103.9052805,1.3999071,way/174886180,103.9055732,1.3997351,,1
100,3,way/174886180,103.9055732,1.3997351,way/476148405,103.9058406,1.3995743,,1
101,3,way/476148405,103.9058406,1.3995743,way/708890745,103.9060204,1.3994459,,1
102,3,way/708890745,103.9060204,1.3994459,Cove Stn Exit B(65151),103.9065501,1.3991335,,1
103,3,Cove Stn Exit B(65151),103.9065501,1.3991335,way/476148407,103.9068392,1.3987445,,1
104,3,way/476148407,103.9068392,1.3987445,way/476148409,103.9069952,1.3986145,,1
105,3,way/476148409,103.9069952,1.3986145,way/476148408,103.9071495,1.3984793,,1
106,3,way/476148408,103.9071495,1.3984793,way/75138969,103.9072694,1.3983646,,1
107,3,way/75138969,103.9072694,1.3983646,way/476148411,103.9074061,1.3982609,,1
108,3,way/476148411,103.9074061,1.3982609,way/512918170,103.9081948,1.3976368,,1
109,3,way/512918170,103.9081948,1.3976368,way/476149333,103.9089754,1.3970058,,1
110,3,way/476149333,103.9089754,1.3970058,way/476149334,103.9095205,1.3965583,,1
111,3,way/476149334,103.9095205,1.3965583,Meridian Stn Exit B(65161),103.9098666,1.3963978,,1
112,3,Meridian Stn Exit B(65161),103.9098666,1.3963978,way/649392802,103.9104588,1.3957934,,1
113,3,way/649392802,103.9104588,1.3957934,way/476149336,103.910068,1.3961133,,1
114,3,way/476149336,103.910068,1.3961133,way/649392802,103.9104588,1.3957934,,1
115,3,way/649392802,103.9104588,1.3957934,way/476149336,103.9108503,1.3954661,,1
116,3,way/476149336,103.9108503,1.3954661,way/534637114,103.9109988,1.3953432,,1
117,3,way/534637114,103.9109988,1.3953432,way/476149337,103.9111445,1.3952234,,1
118,3,way/476149337,103.9111445,1.3952234,way/383281865,103.9118815,1.3946052,,1
119,3,way/383281865,103.9118815,1.3946052,Coral Edge Stn Exit B(65171),103.9122461,1.3944344,,1
120,3,Coral Edge Stn Exit B(65171),103.9122461,1.3944344,way/476149339,103.9128216,1.3938293,,1
121,3,way/476149339,103.9128216,1.3938293,way/476149338,103.9133427,1.3934032,,1
122,3,way/476149338,103.9133427,1.3934032,way/476149340,103.91365,1.3931405,,1
123,3,way/476149340,103.91365,1.3931405,way/620514212,103.9138191,1.3929834,,1
124,3,way/620514212,103.9138191,1.3929834,way/620514213,103.9140314,1.3927975,,1
125,3,way/620514213,103.9140314,1.3927975,way/218215407,103.9144564,1.3926504,,1
126,3,way/218215407,103.9144564,1.3926504,way/74477408,103.9153411,1.3935515,,1
127,3,way/74477408,103.9153411,1.3935515,Riviera Stn Exit B(65231),103.915795,1.39429,,1
128,3,Riviera Stn Exit B(65231),103.915795,1.39429,way/651978152,103.916034,1.3945559,,1
129,3,way/651978152,103.916034,1.3945559,way/651978151,103.916195,1.3947881,,1
130,3,way/651978151,103.916195,1.3947881,way/476165178,103.9163595,1.3950202,,1
131,3,way/476165178,103.9163595,1.3950202,way/218215393,103.9164498,1.395352,,1
132,3,way/218215393,103.9164498,1.395352,way/652543423,103.9161396,1.3957488,,1
133,3,way/652543423,103.9161396,1.3957488,Blk 162B( 65269),103.9149239,1.3964771,,1
134,3,Blk 162B( 65269),103.9149239,1.3964771,way/173963235,103.9147514,1.3967436,,1
135,3,way/173963235,103.9147514,1.3967436,way/652543422,103.9135807,1.3975747,,1
136,3,way/652543422,103.9135807,1.3975747,way/476147257,103.9133572,1.3977306,,1
137,3,way/476147257,103.9133572,1.3977306,way/476147258,103.9130674,1.3979363,,1
138,3,way/476147258,103.9130674,1.3979363,way/534638687,103.9128912,1.3980616,,1
139,3,way/534638687,103.9128912,1.3980616,way/383281858,103.9127283,1.3981735,,1
140,3,way/383281858,103.9127283,1.3981735,way/635650898,103.9118284,1.3988199,,1
141,3,way/635650898,103.9118284,1.3988199,Bet Blks 187/188(65279),103.9109875,1.3993093,,1
142,3,Bet Blks 187/188(65279),103.9109875,1.3993093,way/476147260,103.9108068,1.3995509,,1
143,3,way/476147260,103.9108068,1.3995509,way/476147259,103.9104045,1.3998445,,1
144,3,way/476147259,103.9104045,1.3998445,way/476147263,103.9100284,1.4001315,,1
145,3,way/476147263,103.9100284,1.4001315,way/476147265,103.9097563,1.4003306,,1
146,3,way/476147265,103.9097563,1.4003306,way/649376877,103.9094879,1.4005149,,1
147,3,way/649376877,103.9094879,1.4005149,way/476147266,103.9091688,1.4007446,,1
148,3,way/476147266,103.9091688,1.4007446,way/325024330,103.9090054,1.4008666,,1
149,3,way/325024330,103.9090054,1.4008666,way/75138966,103.9088496,1.4009776,,1
150,3,way/75138966,103.9088496,1.4009776,way/512918167,103.9084788,1.4012476,,1
151,3,way/512918167,103.9084788,1.4012476,way/476147269,103.9079509,1.4016329,,1
152,3,way/476147269,103.9079509,1.4016329,Opp Punggol Sec/Blk 195E(65289),103.907635,1.401732,,1
