bus number,fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,direction
3 Reverse,way/383281865,103.9118815,1.3946052,Coral Edge Stn Exit B (65171),103.9122461,1.3944344,44.75523382,1
3 Reverse,Coral Edge Stn Exit B (65171),103.9122461,1.3944344,way/476149339,103.9128216,1.3938293,92.62089255,1
3 Reverse,way/476149339,103.9128216,1.3938293,way/476149338,103.9133427,1.3934032,74.71903706,1
3 Reverse,way/476149338,103.9133427,1.3934032,way/476149340,103.91365,1.3931405,44.87004765,1
3 Reverse,way/476149340,103.91365,1.3931405,way/620514212,103.9138191,1.3929834,25.61059368,1
3 Reverse,way/620514212,103.9138191,1.3929834,way/620514213,103.9140314,1.3927975,31.31678646,1
3 Reverse,way/620514213,103.9140314,1.3927975,way/218215407,103.9144564,1.3926504,50.01565424,1
3 Reverse,way/218215407,103.9144564,1.3926504,way/74477408,103.9153411,1.3935515,140.0764718,1
3 Reverse,way/74477408,103.9153411,1.3935515,Riviera Stn Exit B (65231),103.915795,1.39429,96.02009159,1
3 Reverse,Riviera Stn Exit B (65231),103.915795,1.39429,way/651978152,103.916034,1.3945559,39.64718098,1
3 Reverse,way/651978152,103.916034,1.3945559,way/651978151,103.916195,1.3947881,31.30904103,1
3 Reverse,way/651978151,103.916195,1.3947881,way/476165178,103.9163595,1.3950202,31.52455563,1
3 Reverse,way/476165178,103.9163595,1.3950202,way/218215393,103.9164498,1.395352,38.04013088,1
3 Reverse,way/218215393,103.9164498,1.395352,way/652543423,103.9161396,1.3957488,55.82852041,1
3 Reverse,way/652543423,103.9161396,1.3957488,Blk 162B (65269),103.9149239,1.3964771,157.4454431,1
3 Reverse,Blk 162B (65269),103.9149239,1.3964771,way/173963235,103.9147514,1.3967436,35.16957119,1
3 Reverse,way/173963235,103.9147514,1.3967436,way/652543422,103.9135807,1.3975747,159.433742,1
3 Reverse,way/652543422,103.9135807,1.3975747,way/476147257,103.9133572,1.3977306,30.26242523,1
3 Reverse,way/476147257,103.9133572,1.3977306,way/476147258,103.9130674,1.3979363,39.4647252,1
3 Reverse,way/476147258,103.9130674,1.3979363,way/534638687,103.9128912,1.3980616,24.00964471,1
3 Reverse,way/534638687,103.9128912,1.3980616,way/383281858,103.9127283,1.3981735,21.94868869,1
3 Reverse,way/383281858,103.9127283,1.3981735,way/635650898,103.9118284,1.3988199,123.0371593,1
3 Reverse,way/635650898,103.9118284,1.3988199,Bet Blks 187/188 (65279),103.9109875,1.3993093,108.1010986,1
3 Reverse,Bet Blks 187/188 (65279),103.9109875,1.3993093,way/476147260,103.9108068,1.3995509,33.43765886,1
3 Reverse,way/476147260,103.9108068,1.3995509,way/476147259,103.9104045,1.3998445,55.30249738,1
3 Reverse,way/476147259,103.9104045,1.3998445,way/476147263,103.9100284,1.4001315,52.52560205,1
3 Reverse,way/476147263,103.9100284,1.4001315,way/476147265,103.9097563,1.4003306,37.43825407,1
3 Reverse,way/476147265,103.9097563,1.4003306,way/649376877,103.9094879,1.4005149,36.15904246,1
3 Reverse,way/649376877,103.9094879,1.4005149,way/476147266,103.9091688,1.4007446,43.65981652,1
3 Reverse,way/476147266,103.9091688,1.4007446,way/325024330,103.9090054,1.4008666,22.6417593,1
3 Reverse,way/325024330,103.9090054,1.4008666,way/75138966,103.9088496,1.4009776,21.24306184,1
3 Reverse,way/75138966,103.9088496,1.4009776,way/512918167,103.9084788,1.4012476,50.9326605,1
3 Reverse,way/512918167,103.9084788,1.4012476,way/476147269,103.9079509,1.4016329,72.57054902,1
3 Reverse,way/476147269,103.9079509,1.4016329,Opp Punggol Sec/Blk 195E (65289),103.907635,1.401732,36.82360165,1
3 Reverse,Opp Punggol Sec/Blk 195E (65289),103.907635,1.401732,way/476147268,103.9074903,1.4019613,30.03629079,1
3 Reverse,way/476147268,103.9074903,1.4019613,way/476147272,103.9071374,1.4022023,47.46063195,1
3 Reverse,way/476147272,103.9071374,1.4022023,way/476147274,103.9068376,1.402409,40.44159877,1
3 Reverse,way/476147274,103.9068376,1.402409,way/476147273,103.9065073,1.4026478,45.2590525,1
3 Reverse,way/476147273,103.9065073,1.4026478,way/74962086,103.9062669,1.4028164,32.60820227,1
3 Reverse,way/74962086,103.9062669,1.4028164,way/582412253,103.9060832,1.4029351,24.29404593,1
3 Reverse,way/582412253,103.9060832,1.4029351,Blk 298 (65229),103.9055521,1.4032091,66.41719635,1
3 Reverse,Blk 298 (65229),103.9055521,1.4032091,way/476389393,103.9049679,1.4036357,80.32359486,1
3 Reverse,way/476389393,103.9049679,1.4036357,way/476389392,103.9046897,1.4038113,36.54491326,1
3 Reverse,way/476389392,103.9046897,1.4038113,way/620275278,103.9043156,1.4040446,48.9768571,1
3 Reverse,way/620275278,103.9043156,1.4040446,way/445282964,103.9039709,1.4042547,44.8467983,1
3 Reverse,way/445282964,103.9039709,1.4042547,way/173767826,103.9037589,1.4042144,24.00984319,1
3 Reverse,way/173767826,103.9037589,1.4042144,way/445282968,103.9035946,1.4039482,34.6516832,1
3 Reverse,way/445282968,103.9035946,1.4039482,way/652306771,103.9032771,1.403441,66.28590161,1
3 Reverse,way/652306771,103.9032771,1.403441,way/724076800,103.9030445,1.4030729,48.23637809,1
3 Reverse,way/724076800,103.9030445,1.4030729,way/173768002,103.9030095,1.4030891,4.28719034,1
3 Reverse,way/173768002,103.9030095,1.4030891,way/325024332,103.9026466,1.4033011,46.69620697,1
3 Reverse,way/325024332,103.9026466,1.4033011,Punggol Temp Int (65009),103.9025242,1.404107,90.1474011,1
34,Punggol Temp Int (65009),103.9025242,1.404107,way/325024332,103.9026466,1.4033011,90.1474011,0
34,way/325024332,103.9026466,1.4033011,way/173767827,103.9029803,1.4031145,42.48333079,0
34,way/173767827,103.9029803,1.4031145,way/724076802,103.9031708,1.4034225,40.11641526,0
34,way/724076802,103.9031708,1.4034225,way/476395133,103.9034199,1.4038215,52.10565006,0
34,way/476395133,103.9034199,1.4038215,way/708819911,103.9035459,1.4040253,26.54152557,0
